ID,componentindex,CF_kingdom,CF_MFramework,CF_superclass,CF_class,CF_subclass,CF_Dparent,Compound_Name,feature
1,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1
4,-1,no matches,no matches,no matches,no matches,no matches,no matches,,4
5,-1,no matches,no matches,no matches,no matches,no matches,no matches,,5
9,2348,Organic compounds,Aliphatic acyclic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,,9
14,-1,no matches,no matches,no matches,no matches,no matches,no matches,,14
16,-1,no matches,no matches,no matches,no matches,no matches,no matches,,16
26,-1,Organic compounds,Aromatic homomonocyclic compounds,Phenylpropanoids and polyketides,Cinnamaldehydes,,Cinnamaldehydes,TRANS-CINNAMALDEHYDE,26
29,-1,no matches,no matches,no matches,no matches,no matches,no matches,,29
31,-1,no matches,no matches,no matches,no matches,no matches,no matches,,31
34,-1,no matches,no matches,no matches,no matches,no matches,no matches,,34
35,1085,no matches,no matches,no matches,no matches,no matches,no matches,,35
37,994,Organic compounds,Aromatic heteromonocyclic compounds,Organohalogen compounds,Aryl halides,Aryl chlorides,Aryl chlorides,,37
73,-1,no matches,no matches,no matches,no matches,no matches,no matches,,73
75,994,Organic compounds,Aromatic heteromonocyclic compounds,Organohalogen compounds,Aryl halides,Aryl chlorides,Aryl chlorides,,75
76,-1,no matches,no matches,no matches,no matches,no matches,no matches,,76
100,-1,no matches,no matches,no matches,no matches,no matches,no matches,,100
108,-1,no matches,no matches,no matches,no matches,no matches,no matches,,108
110,2348,Organic compounds,Aliphatic acyclic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,,110
116,458,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,Organosulfonic acids,,116
118,-1,no matches,no matches,no matches,no matches,no matches,no matches,,118
124,-1,no matches,no matches,no matches,no matches,no matches,no matches,,124
145,1085,no matches,no matches,no matches,no matches,no matches,no matches,,145
156,-1,no matches,no matches,no matches,no matches,no matches,no matches,,156
161,-1,no matches,no matches,no matches,no matches,no matches,no matches,,161
184,97,Organic compounds,Aliphatic heteromonocyclic compounds,Organoheterocyclic compounds,Azolines,Pyrazolines,Pyrazolines,,184
260,-1,no matches,no matches,no matches,no matches,no matches,no matches,,260
263,248,Organic compounds,Aliphatic acyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Dialkylamines,SPERMIDINE,263
266,-1,no matches,no matches,no matches,no matches,no matches,no matches,,266
269,163,Organic compounds,Aliphatic acyclic compounds,Organohalogen compounds,Acyl halides,Acyl chlorides,Acyl chlorides,,269
272,163,Organic compounds,Aliphatic acyclic compounds,Organohalogen compounds,Acyl halides,Acyl chlorides,Acyl chlorides,,272
276,-1,no matches,no matches,no matches,no matches,no matches,no matches,,276
282,163,Organic compounds,Aliphatic acyclic compounds,Organohalogen compounds,Acyl halides,Acyl chlorides,Acyl chlorides,,282
358,458,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,Organosulfonic acids,TAURINE,358
433,-1,no matches,no matches,no matches,no matches,no matches,no matches,,433
437,-1,no matches,no matches,no matches,no matches,no matches,no matches,,437
438,-1,no matches,no matches,no matches,no matches,no matches,no matches,,438
476,668,Organic compounds,Aromatic homomonocyclic compounds,Lipids and lipid-like molecules,Benzene and substituted derivatives,,Phenylpropanes,Spectral Match to Palmitic acid ethyl ester from NIST14,476
549,994,Organic compounds,Aromatic heteromonocyclic compounds,Organohalogen compounds,Aryl halides,Aryl chlorides,Aryl chlorides,,549
550,-1,no matches,no matches,no matches,no matches,no matches,no matches,,550
553,-1,no matches,no matches,no matches,no matches,no matches,no matches,,553
559,1085,no matches,no matches,no matches,no matches,no matches,no matches,Spectral Match to Lys-Arg from NIST14,559
560,-1,no matches,no matches,no matches,no matches,no matches,no matches,,560
565,-1,no matches,no matches,no matches,no matches,no matches,no matches,,565
566,248,Organic compounds,Aliphatic acyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Dialkylamines,,566
567,-1,no matches,no matches,no matches,no matches,no matches,no matches,,567
568,-1,no matches,no matches,no matches,no matches,no matches,no matches,,568
571,-1,no matches,no matches,no matches,no matches,no matches,no matches,,571
572,1085,no matches,no matches,no matches,no matches,no matches,no matches,,572
573,147,Organic compounds,Aromatic homomonocyclic compounds,Benzenoids,Benzene and substituted derivatives,,Aniline and substituted anilines,,573
574,1219,no matches,no matches,no matches,no matches,no matches,no matches,,574
575,-1,no matches,no matches,no matches,no matches,no matches,no matches,,575
582,-1,no matches,no matches,no matches,no matches,no matches,no matches,,582
584,147,Organic compounds,Aromatic homomonocyclic compounds,Benzenoids,Benzene and substituted derivatives,,Aniline and substituted anilines,,584
585,447,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Prenol lipids,,Sesquiterpenoids,,585
586,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,586
597,-1,no matches,no matches,no matches,no matches,no matches,no matches,,597
598,-1,no matches,no matches,no matches,no matches,no matches,no matches,,598
599,-1,no matches,no matches,no matches,no matches,no matches,no matches,,599
607,-1,no matches,no matches,no matches,no matches,no matches,no matches,,607
608,1016,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Benzene and substituted derivatives,,Monoalkyl phosphates,,608
609,-1,no matches,no matches,no matches,no matches,no matches,no matches,,609
611,-1,no matches,no matches,no matches,no matches,no matches,no matches,Spectral Match to 4-Hydroxynonenal from NIST14,611
615,-1,no matches,no matches,no matches,no matches,no matches,no matches,,615
631,-1,no matches,no matches,no matches,no matches,no matches,no matches,,631
632,368,Organic compounds,Aromatic homomonocyclic compounds,Organic acids and derivatives,Phenols,Benzenetriols and derivatives,Organic phosphonic acids,,632
633,-1,no matches,no matches,no matches,no matches,no matches,no matches,,633
637,-1,no matches,no matches,no matches,no matches,no matches,no matches,,637
638,-1,no matches,no matches,no matches,no matches,no matches,no matches,,638
639,-1,no matches,no matches,no matches,no matches,no matches,no matches,,639
644,-1,no matches,no matches,no matches,no matches,no matches,no matches,,644
646,-1,no matches,no matches,no matches,no matches,no matches,no matches,,646
647,1219,no matches,no matches,no matches,no matches,no matches,no matches,,647
648,-1,no matches,no matches,no matches,no matches,no matches,no matches,,648
649,-1,no matches,no matches,no matches,no matches,no matches,no matches,,649
657,-1,no matches,no matches,no matches,no matches,no matches,no matches,,657
664,-1,no matches,no matches,no matches,no matches,no matches,no matches,,664
665,147,Organic compounds,Aromatic homomonocyclic compounds,Benzenoids,Benzene and substituted derivatives,,Aniline and substituted anilines,,665
667,-1,no matches,no matches,no matches,no matches,no matches,no matches,,667
669,147,Organic compounds,Aromatic homomonocyclic compounds,Benzenoids,Benzene and substituted derivatives,,Aniline and substituted anilines,,669
671,1919,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,,671
676,1919,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,,676
685,-1,no matches,no matches,no matches,no matches,no matches,no matches,,685
696,994,Organic compounds,Aromatic heteromonocyclic compounds,Organohalogen compounds,Aryl halides,Aryl chlorides,Aryl chlorides,,696
697,-1,no matches,no matches,no matches,no matches,no matches,no matches,,697
703,994,Organic compounds,Aromatic heteromonocyclic compounds,Organohalogen compounds,Aryl halides,Aryl chlorides,Aryl chlorides,,703
794,248,Organic compounds,Aliphatic acyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Dialkylamines,,794
795,248,Organic compounds,Aliphatic acyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Dialkylamines,,795
796,1151,Organic compounds,Aliphatic acyclic compounds,Organosulfur compounds,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,796
798,-1,no matches,no matches,no matches,no matches,no matches,no matches,,798
799,368,Organic compounds,Aromatic homomonocyclic compounds,Organic acids and derivatives,Phenols,Benzenetriols and derivatives,Organic phosphonic acids,,799
800,-1,no matches,no matches,no matches,no matches,no matches,no matches,,800
801,-1,no matches,no matches,no matches,no matches,no matches,no matches,,801
802,-1,no matches,no matches,no matches,no matches,no matches,no matches,,802
808,-1,no matches,no matches,no matches,no matches,no matches,no matches,,808
826,128,Organic compounds,Aromatic homomonocyclic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzaldehydes,,826
827,458,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,Organosulfonic acids,,827
828,-1,no matches,no matches,no matches,no matches,no matches,no matches,,828
829,-1,no matches,no matches,no matches,no matches,no matches,no matches,,829
830,390,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,Acyl monophosphates,,830
837,-1,no matches,no matches,no matches,no matches,no matches,no matches,,837
883,-1,no matches,no matches,no matches,no matches,no matches,no matches,,883
885,-1,no matches,no matches,no matches,no matches,no matches,no matches,,885
886,1922,Organic compounds,Aromatic heteromonocyclic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Aminopyridines and derivatives,Aminopyridines and derivatives,(S)-NICOTINE,886
888,829,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Azoles,,Sulfuric acid diesters,,888
890,-1,no matches,no matches,no matches,no matches,no matches,no matches,,890
891,1085,no matches,no matches,no matches,no matches,no matches,no matches,,891
893,1261,Organic compounds,Aliphatic heteropolycyclic compounds,Organoheterocyclic compounds,Quinuclidines,,Quinuclidines,,893
923,-1,no matches,no matches,no matches,no matches,no matches,no matches,,923
963,-1,no matches,no matches,no matches,no matches,no matches,no matches,,963
965,-1,no matches,no matches,no matches,no matches,no matches,no matches,,965
966,-1,no matches,no matches,no matches,no matches,no matches,no matches,,966
968,-1,no matches,no matches,no matches,no matches,no matches,no matches,,968
971,-1,no matches,no matches,no matches,no matches,no matches,no matches,,971
972,-1,no matches,no matches,no matches,no matches,no matches,no matches,,972
973,-1,no matches,no matches,no matches,no matches,no matches,no matches,Spectral Match to .alpha.-CMBHC from NIST14,973
974,458,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,Organosulfonic acids,,974
975,-1,no matches,no matches,no matches,no matches,no matches,no matches,,975
978,-1,no matches,no matches,no matches,no matches,no matches,no matches,,978
982,709,no matches,no matches,no matches,no matches,no matches,no matches,,982
988,-1,no matches,no matches,no matches,no matches,no matches,no matches,,988
1003,709,no matches,no matches,no matches,no matches,no matches,no matches,,1003
1005,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1005
1011,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1011
1015,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1015
1070,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1070
1085,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1085
1092,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1092
1093,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1093
1094,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1094
1097,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1097
1104,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1104
1106,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1106
1107,1658,Organic compounds,Aromatic homomonocyclic compounds,Organoheterocyclic compounds,Benzene and substituted derivatives,Aniline and substituted anilines,Aniline and substituted anilines,,1107
1108,994,Organic compounds,Aromatic heteromonocyclic compounds,Organohalogen compounds,Aryl halides,Aryl chlorides,Aryl chlorides,,1108
1109,1658,Organic compounds,Aromatic homomonocyclic compounds,Organoheterocyclic compounds,Benzene and substituted derivatives,Aniline and substituted anilines,Aniline and substituted anilines,,1109
1111,1658,Organic compounds,Aromatic homomonocyclic compounds,Organoheterocyclic compounds,Benzene and substituted derivatives,Aniline and substituted anilines,Aniline and substituted anilines,,1111
1112,1658,Organic compounds,Aromatic homomonocyclic compounds,Organoheterocyclic compounds,Benzene and substituted derivatives,Aniline and substituted anilines,Aniline and substituted anilines,,1112
1251,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1251
1252,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1252
1253,-1,no matches,no matches,no matches,no matches,no matches,no matches,Spectral Match to Jasmine lactone from NIST14,1253
1254,97,Organic compounds,Aliphatic heteromonocyclic compounds,Organoheterocyclic compounds,Azolines,Pyrazolines,Pyrazolines,,1254
1285,119,Organic compounds,Aromatic homomonocyclic compounds,Benzenoids,Benzene and substituted derivatives,Anilides,Chlorobenzenes,,1285
1289,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1289
1296,119,Organic compounds,Aromatic homomonocyclic compounds,Benzenoids,Benzene and substituted derivatives,Anilides,Chlorobenzenes,,1296
1297,119,Organic compounds,Aromatic homomonocyclic compounds,Benzenoids,Benzene and substituted derivatives,Anilides,Chlorobenzenes,,1297
1307,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1307
1310,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1310
1332,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1332
1348,1337,no matches,no matches,no matches,no matches,no matches,no matches,,1348
1349,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1349
1350,175,Organic compounds,Aliphatic acyclic compounds,Lipids and lipid-like molecules,Fatty Acyls,,Medium-chain fatty acids,,1350
1356,1754,Organic compounds,Aliphatic heteropolycyclic compounds,Organoheterocyclic compounds,Prenol lipids,,Hexoses,,1356
1357,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1357
1388,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1388
1391,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1391
1395,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1395
1396,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1396
1397,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1397
1399,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1399
1402,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1402
1405,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1405
1406,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1406
1407,532,Organic compounds,Aliphatic heteromonocyclic compounds,Organoheterocyclic compounds,Organonitrogen compounds,N-alkylpyrrolidines,N-alkylpyrrolidines,,1407
1412,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1412
1417,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1417
1423,208,Organic compounds,Aliphatic heteromonocyclic compounds,Organoheterocyclic compounds,Organonitrogen compounds,Guanidines,Biguanides,,1423
1425,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1425
1429,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1429
1431,2637,Organic compounds,Aliphatic heteromonocyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Guanidines,Biguanides,,1431
1437,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1437
1443,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1443
1445,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1445
1477,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1477
1480,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1480
1484,208,Organic compounds,Aliphatic heteromonocyclic compounds,Organoheterocyclic compounds,Organonitrogen compounds,Guanidines,Biguanides,,1484
1485,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1485
1502,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1502
1520,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1520
1530,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1530
1555,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1555
1582,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1582
1592,208,Organic compounds,Aliphatic heteromonocyclic compounds,Organoheterocyclic compounds,Organonitrogen compounds,Guanidines,Biguanides,,1592
1605,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1605
1614,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1614
1623,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1623
1626,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1626
1627,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1627
1645,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1645
1654,2637,Organic compounds,Aliphatic heteromonocyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Guanidines,Biguanides,,1654
1656,208,Organic compounds,Aliphatic heteromonocyclic compounds,Organoheterocyclic compounds,Organonitrogen compounds,Guanidines,Biguanides,,1656
1677,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1677
1709,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1709
1715,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1715
1718,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1718
1726,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1726
1737,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1737
1756,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1756
1761,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1761
1794,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1794
1803,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1803
1806,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1806
1830,384,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,,1830
1971,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1971
2092,532,Organic compounds,Aliphatic heteromonocyclic compounds,Organoheterocyclic compounds,Organonitrogen compounds,N-alkylpyrrolidines,N-alkylpyrrolidines,,2092
2108,532,Organic compounds,Aliphatic heteromonocyclic compounds,Organoheterocyclic compounds,Organonitrogen compounds,N-alkylpyrrolidines,N-alkylpyrrolidines,,2108
2114,532,Organic compounds,Aliphatic heteromonocyclic compounds,Organoheterocyclic compounds,Organonitrogen compounds,N-alkylpyrrolidines,N-alkylpyrrolidines,,2114
2117,532,Organic compounds,Aliphatic heteromonocyclic compounds,Organoheterocyclic compounds,Organonitrogen compounds,N-alkylpyrrolidines,N-alkylpyrrolidines,,2117
2209,-1,no matches,no matches,no matches,no matches,no matches,no matches,,2209
2210,-1,no matches,no matches,no matches,no matches,no matches,no matches,,2210
2211,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2211
2212,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2212
2213,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2213
2215,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2215
2216,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2216
2217,-1,no matches,no matches,no matches,no matches,no matches,no matches,,2217
2218,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2218
2219,-1,no matches,no matches,no matches,no matches,no matches,no matches,,2219
2220,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2220
2222,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2222
2223,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2223
2225,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2225
2226,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2226
2227,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2227
2228,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2228
2230,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,ribose,2230
2231,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,ribose,2231
2234,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2234
2239,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,ribose,2239
2242,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2242
2244,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,arabinose,2244
2254,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2254
2259,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2259
2260,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,ribose,2260
2262,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2262
2269,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,ribose,2269
2276,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,ribose,2276
2277,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2277
2284,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2284
2296,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2296
2306,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2306
2307,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2307
2308,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2308
2309,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2309
2310,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,ribose,2310
2312,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2312
2317,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,ribose,2317
2320,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2320
2322,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2322
2325,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2325
2327,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2327
2339,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2339
2347,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2347
2384,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,ribose,2384
2399,383,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Medium-chain fatty acids,,2399
2413,-1,no matches,no matches,no matches,no matches,no matches,no matches,,2413
