ID,componentindex,CF_kingdom,CF_MFramework,CF_superclass,CF_class,CF_subclass,CF_Dparent,Compound_Name,feature
51680,64,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Tetralins,,51680
51685,304,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Quinolines and derivatives,,Hydroquinolones,,51685
51687,304,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Quinolines and derivatives,,Hydroquinolones,,51687
51689,304,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Quinolines and derivatives,,Hydroquinolones,,51689
51691,1827,Organic compounds,Aliphatic acyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Hydrazines and derivatives,Semicarbazones,,51691
51693,389,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Branched fatty acids,,51693
51694,86,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Organooxygen compounds,,Sesquiterpenoids,,51694
51695,319,Organic compounds,Aliphatic heteromonocyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,"1,2-aminoalcohols",,51695
51698,-1,no matches,no matches,no matches,no matches,no matches,no matches,,51698
51699,304,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Quinolines and derivatives,,Hydroquinolones,,51699
51700,-1,no matches,no matches,no matches,no matches,no matches,no matches,,51700
51703,304,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Quinolines and derivatives,,Hydroquinolones,,51703
51707,1827,Organic compounds,Aliphatic acyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Hydrazines and derivatives,Semicarbazones,,51707
51724,1827,Organic compounds,Aliphatic acyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Hydrazines and derivatives,Semicarbazones,,51724
51748,1827,Organic compounds,Aliphatic acyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Hydrazines and derivatives,Semicarbazones,,51748
51750,898,Organic compounds,Aliphatic heteromonocyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,"1,2-aminoalcohols",,51750
51752,1827,Organic compounds,Aliphatic acyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Hydrazines and derivatives,Semicarbazones,,51752
51755,304,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Quinolines and derivatives,,Hydroquinolones,,51755
51756,1827,Organic compounds,Aliphatic acyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Hydrazines and derivatives,Semicarbazones,,51756
51761,563,Organic compounds,Aromatic heteromonocyclic compounds,Benzenoids,Organonitrogen compounds,,Piperidines,,51761
51763,563,Organic compounds,Aromatic heteromonocyclic compounds,Benzenoids,Organonitrogen compounds,,Piperidines,,51763
51766,1827,Organic compounds,Aliphatic acyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Hydrazines and derivatives,Semicarbazones,,51766
51769,244,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Organonitrogen compounds,,Aralkylamines,,51769
51778,995,Organic compounds,Aliphatic heteropolycyclic compounds,Organoheterocyclic compounds,Indolizidines,,Indolizidines,,51778
51786,-1,no matches,no matches,no matches,no matches,no matches,no matches,,51786
51796,995,Organic compounds,Aliphatic heteropolycyclic compounds,Organoheterocyclic compounds,Indolizidines,,Indolizidines,,51796
51803,-1,no matches,no matches,no matches,no matches,no matches,no matches,,51803
51805,-1,no matches,no matches,no matches,no matches,no matches,no matches,,51805
51807,2662,Organic compounds,Aromatic homomonocyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acid amides,,51807
51829,1464,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Piperidines,Fatty amides,Acridines,,51829
51860,-1,no matches,no matches,no matches,no matches,no matches,no matches,,51860
51863,278,no matches,no matches,no matches,no matches,no matches,no matches,,51863
51864,1454,no matches,no matches,no matches,no matches,no matches,no matches,,51864
51865,278,no matches,no matches,no matches,no matches,no matches,no matches,,51865
51871,278,no matches,no matches,no matches,no matches,no matches,no matches,,51871
51872,278,no matches,no matches,no matches,no matches,no matches,no matches,,51872
51878,278,no matches,no matches,no matches,no matches,no matches,no matches,,51878
51882,278,no matches,no matches,no matches,no matches,no matches,no matches,,51882
51883,278,no matches,no matches,no matches,no matches,no matches,no matches,,51883
51884,278,no matches,no matches,no matches,no matches,no matches,no matches,,51884
51886,278,no matches,no matches,no matches,no matches,no matches,no matches,,51886
51888,1454,no matches,no matches,no matches,no matches,no matches,no matches,,51888
51892,1454,no matches,no matches,no matches,no matches,no matches,no matches,,51892
51896,278,no matches,no matches,no matches,no matches,no matches,no matches,,51896
51898,278,no matches,no matches,no matches,no matches,no matches,no matches,,51898
51901,915,no matches,no matches,no matches,no matches,no matches,no matches,,51901
51906,2911,no matches,no matches,no matches,no matches,no matches,no matches,,51906
51909,278,no matches,no matches,no matches,no matches,no matches,no matches,,51909
51915,-1,no matches,no matches,no matches,no matches,no matches,no matches,,51915
51919,278,no matches,no matches,no matches,no matches,no matches,no matches,,51919
51922,278,no matches,no matches,no matches,no matches,no matches,no matches,,51922
51923,-1,no matches,no matches,no matches,no matches,no matches,no matches,,51923
51924,2911,no matches,no matches,no matches,no matches,no matches,no matches,,51924
51930,-1,no matches,no matches,no matches,no matches,no matches,no matches,,51930
51931,278,no matches,no matches,no matches,no matches,no matches,no matches,,51931
51932,278,no matches,no matches,no matches,no matches,no matches,no matches,,51932
51935,835,no matches,no matches,no matches,no matches,no matches,no matches,,51935
51945,835,no matches,no matches,no matches,no matches,no matches,no matches,,51945
51950,278,no matches,no matches,no matches,no matches,no matches,no matches,,51950
51951,278,no matches,no matches,no matches,no matches,no matches,no matches,,51951
51952,278,no matches,no matches,no matches,no matches,no matches,no matches,,51952
51953,-1,no matches,no matches,no matches,no matches,no matches,no matches,,51953
51955,278,no matches,no matches,no matches,no matches,no matches,no matches,,51955
51958,915,no matches,no matches,no matches,no matches,no matches,no matches,,51958
51961,278,no matches,no matches,no matches,no matches,no matches,no matches,,51961
51962,278,no matches,no matches,no matches,no matches,no matches,no matches,,51962
51969,-1,no matches,no matches,no matches,no matches,no matches,no matches,,51969
51973,-1,no matches,no matches,no matches,no matches,no matches,no matches,,51973
51975,1041,no matches,no matches,no matches,no matches,no matches,no matches,,51975
51976,-1,no matches,no matches,no matches,no matches,no matches,no matches,,51976
51978,1041,no matches,no matches,no matches,no matches,no matches,no matches,,51978
51982,1041,no matches,no matches,no matches,no matches,no matches,no matches,,51982
51984,-1,no matches,no matches,no matches,no matches,no matches,no matches,,51984
51986,86,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Organooxygen compounds,,Sesquiterpenoids,,51986
51987,278,no matches,no matches,no matches,no matches,no matches,no matches,,51987
51988,64,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Tetralins,,51988
51989,11,no matches,no matches,no matches,no matches,no matches,no matches,,51989
51990,1041,no matches,no matches,no matches,no matches,no matches,no matches,,51990
51992,278,no matches,no matches,no matches,no matches,no matches,no matches,,51992
51996,-1,no matches,no matches,no matches,no matches,no matches,no matches,,51996
52000,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52000
52001,879,Organic compounds,Aliphatic acyclic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,,52001
52003,278,no matches,no matches,no matches,no matches,no matches,no matches,,52003
52004,360,no matches,no matches,no matches,no matches,no matches,no matches,,52004
52006,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52006
52010,879,Organic compounds,Aliphatic acyclic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,,52010
52015,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52015
52024,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52024
52041,360,no matches,no matches,no matches,no matches,no matches,no matches,,52041
52044,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52044
52045,879,Organic compounds,Aliphatic acyclic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,,52045
52060,64,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Tetralins,,52060
52090,915,no matches,no matches,no matches,no matches,no matches,no matches,,52090
52100,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52100
52109,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52109
52110,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52110
52111,840,Organic compounds,Aliphatic acyclic compounds,Organoheterocyclic compounds,Hydroxy acids and derivatives,,Medium-chain hydroxy acids and derivatives,,52111
52112,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52112
52147,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52147
