ID,MachineBlk1,MachineBlk2,MachineBlk3,Synbiotics-T01_F02,Synbiotics-T01_F02_2,Synbiotics-T01_F07,Synbiotics-T01_F07_2,Synbiotics-T01_F08,Synbiotics-T01_F08_2,Synbiotics-T01_F17,Synbiotics-T01_F17_2,Synbiotics-T01_F19,Synbiotics-T01_F19_2,Synbiotics-T01_F20,Synbiotics-T01_F20_2,Synbiotics-T01_F28,Synbiotics-T01_F28_2,Synbiotics-T01_F31,Synbiotics-T01_F31_2,Synbiotics-T01_F35,Synbiotics-T01_F35_2,Synbiotics-T01_F39,Synbiotics-T01_F39_2,Control-T01_F01,Control-T01_F04,Control-T01_F05,Control-T01_F11,Control-T01_F15,Control-T01_F17,Control-T01_F23,Control-T01_F26,Control-T01_F33,Control-T01_F38,Control-T01_F01_2,Control-T01_F04_2,Control-T01_F05_2,Control-T01_F11_2,Control-T01_F15_2,Control-T01_F17_2,Control-T01_F23_2,Control-T01_F26_2,Control-T01_F33_2,Control-T01_F38_2,Probiotics-T01_F01,Probiotics-T01_F01_2,Probiotics-T01_F02,Probiotics-T01_F02_2,Probiotics-T01_F09,Probiotics-T01_F09_2,Probiotics-T01_F12,Probiotics-T01_F12_2,Probiotics-T01_F17,Probiotics-T01_F17_2,Probiotics-T01_F22,Probiotics-T01_F22_2,Probiotics-T01_F31,Probiotics-T01_F31_2,Probiotics-T01_F33,Probiotics-T01_F33_2,Probiotics-T01_F35,Probiotics-T01_F35_2,Probiotics-T01_F37,Probiotics-T01_F37_2,P_Blk_01,P_Blk_01_20190824233514,P_Blk_02,P_Blk_02_20190824132314,QC04,QC05,QC06,QC07,QC08,QC09,QC10,QC11,QC12-1,QC12-2,QC13-1,QC13-2,QC13-3
4066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1698880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932975,0,0,0,0,1170600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7668,0,0,0,0,1585050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1929940,1360490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3821750,0,0,0,0,2009630,0,0,0,0,4027500,0,0,8416570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4486720,0,0,0,3319630,3222360,0,0,0,0,0,0,0,0,0,0,0,3326480,0,0,0,0,0
97788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6333930,0,0,0,0,0,0,0,0,0,8982260,0,0,0,11009300,0,0,7247590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9055560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10440500,0,0,0,5142380,0,0,0,0,0,0
125301,0,0,523813,1674820,1354620,1341950,1174970,1993950,1964320,7454550,9218060,2727220,3313236,1675100,2657167,1683850,1631880,1963995,1394310,827277,837049,2337890,5121050,0,0,8778870,0,3479170,2131820,4131220,0,1539980,0,0,1832960,0,0,4240350,0,0,1609910,1464360,0,1196530,1388977,2031754,2355912,3289300,6841600,1067210,2815260,1053700,2866820,1441010,2626952,1934520,0,2338326,827165,1259140,4009110,1665490,1891950,0,0,0,0,1756010,1482410,2248270,1486870,1631210,1728360,1145910,0,1579260,0,1409020,0,5368580
57146,0,0,0,0,0,0,0,0,0,0,0,12976400,0,0,0,0,0,0,12654300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14344300,0,0,0,0,8001650,0,0,0,9700060,0,0,12772300,0,0,0,0,0,0,0,14631900,11620400,0,14827600,0,16668800,0,0,0,11219500,7172940,0,21221600,0,0,0,0,11742100,0,0,0,0,0,0,0,0
119562,0,0,0,0,0,0,0,0,0,0,0,0,0,27045270,22146910,0,0,14118850,2675580,0,0,0,0,0,0,0,0,0,0,3619550,0,0,0,0,0,0,0,0,0,1357790,6952740,0,1845321,0,0,0,0,0,0,3953170,2290580,0,0,5418730,3268160,0,0,1863260,2271550,2134560,5949400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120829,0,0,0,0,0,27894800,0,26299100,31226200,37223500,58185600,0,0,12290400,0,34884300,16874300,0,18694400,10734200,0,27181000,0,0,18674900,0,0,0,34372400,16593600,0,0,0,0,0,0,0,0,0,0,21516700,0,0,0,0,0,0,0,0,0,15256600,35481200,22423400,22131200,0,11813100,0,0,0,34753400,37528800,0,14153500,0,0,0,0,17176600,0,22542700,0,36758800,0,0,0,0,0,16063600,17478800,23810800
54548,0,0,0,12874270,0,0,4399460,5093960,6565370,0,0,13339620,15338160,11942400,0,4931180,0,0,0,0,0,10644510,10071380,3572050,0,3423120,0,3343550,6927640,3663700,2989910,3167370,0,2190420,0,3474600,3040300,0,0,0,17603430,0,0,0,10590150,0,0,0,3611330,6248880,12666300,9674510,10347150,0,0,0,0,0,0,0,0,0,15494200,0,0,0,0,0,9987130,9024730,8789620,0,1811360,1892700,0,4205380,0,0,6266420,3562350
144961,0,0,0,0,0,0,0,0,0,0,0,2689010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109614,0,0,0,46256700,16854850,76453450,63936900,76011170,31446100,116377100,115509570,53507750,65244500,12913750,22912310,23446100,52620500,25681900,38166710,40154560,25749040,64660910,48834430,47910410,71349750,113991990,78053730,12791400,53294970,44345960,37985530,58827770,40165140,46748210,36046000,52715090,26547280,67994780,66150070,3738140,33513780,46171220,34127910,47419070,51246980,64619680,47035250,0,50426090,56019640,12913600,59038770,101008810,49136510,42638280,43080290,55980330,22077300,10636140,68937140,46801230,35552450,8622840,0,0,0,0,39605970,70887550,61689860,73677930,40908330,15382170,40379360,48177170,41588940,21469980,53989000,71285080,70541940
67973,0,968901,0,0,0,0,2965240,0,0,3056470,0,0,0,0,0,0,0,0,0,0,0,2835480,2768310,0,0,0,0,0,0,0,0,0,0,2693660,0,0,0,0,2406110,0,2856710,0,2662690,0,0,0,0,1934330,0,2479860,0,0,0,0,0,88645800,2888100,0,2320600,0,0,0,2421270,0,3986550,6629740,2303560,0,0,0,2802390,3881920,0,0,2258830,0,0,2473970,0,2437910
103501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14820100,0,0,0,0,0,0,0,27842100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119696,0,0,0,3535200,4066870,8969980,0,7540790,14187180,11714750,24756500,1632000,1636510,0,0,2485400,7891010,0,0,0,1936180,0,0,0,1640710,3964770,2842650,2289470,0,1944330,3909440,1654910,0,0,0,0,0,2500340,0,0,0,1637200,0,0,0,0,0,0,0,1938070,2009820,14039400,2415840,2818240,6281470,0,2575880,0,0,0,3857350,0,0,0,0,0,0,1934590,0,0,1714410,1741060,0,0,0,0,0,0,0,0
16082,0,1472940,1778160,0,0,0,0,0,2409900,1663850,0,3754720,0,0,0,2111490,1507500,773047,0,0,0,0,0,0,1065710,0,0,0,2509050,0,0,0,2370600,1489390,1700730,1717660,2263400,0,0,0,1724920,0,0,0,1196990,0,1364750,4963170,0,0,0,0,0,0,0,0,0,1737970,0,3560580,1115090,0,1409320,0,0,1615880,1864750,0,1804890,3168220,1427140,0,0,0,0,0,0,0,0,0
151109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1585254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
